2026-04-01T02:08:38.453Z
Mercury,Venus,Earth,Moon,Mars,Jupiter,Io,Ganymede,Europa,Callisto,Saturn,Uranus,Neptune,Pluto
4,95,323,692,722,1413,5760,5805,5980,6068,6472,17263,48035,108391
90
-0.90243,0.39118,0.01336
-0.90201,0.39100,0.03084
-0.90132,0.39070,0.04830
-0.90034,0.39028,0.06575
-0.89909,0.38974,0.08318
-0.89756,0.38908,0.10058
-0.89575,0.38829,0.11795
-0.89367,0.38739,0.13529
-0.89130,0.38636,0.15259
-0.88866,0.38522,0.16984
-0.88574,0.38395,0.18704
29
-0.00062,0.00024,0.00250
-0.00011,-0.00004,0.00260
0.00040,-0.00031,0.00258
0.00089,-0.00057,0.00243
0.00134,-0.00080,0.00216
0.00173,-0.00100,0.00180
0.00204,-0.00115,0.00135
0.00225,-0.00124,0.00084
0.00236,-0.00128,0.00030
